Date,Cases,GTrend,Traffic
2020-06-23,233,9.71,671.92
2020-06-24,243,16.56,700.28
2020-06-25,248,17.31,671.16
2020-06-26,219,20.37,727.86
2020-06-27,130,21.2,684.58
2020-06-28,110,29.15,430.06
2020-06-29,280,20.53,394.56
2020-06-30,265,31.52,676.33
2020-07-01,267,39.88,728.78
2020-07-02,256,18.24,718.21
2020-07-03,176,29.05,430.93
2020-07-04,63,30.38,425.04
2020-07-05,89,17.31,412.16
2020-07-06,283,26.36,419.4
2020-07-07,343,33.19,244.05
2020-07-08,309,29.29,580.4
2020-07-09,288,34.91,684.87
2020-07-10,345,30.52,622.64
2020-07-11,154,23.27,572.7
2020-07-12,97,26.99,424.88
2020-07-13,337,35.25,363.73
2020-07-14,324,42.69,606.06
2020-07-15,267,40.4,626.31
2020-07-16,296,29.24,616.8
2020-07-17,326,30.0,563.46
2020-07-18,132,42.5,494.05
2020-07-19,100,28.08,396.79
2020-07-20,392,19.61,338.69
2020-07-21,291,22.0,675.47
2020-07-22,364,21.36,706.37
2020-07-23,318,16.99,672.8
2020-07-24,347,16.85,570.06
2020-07-25,156,20.4,680.43
2020-07-26,96,17.07,465.73
2020-07-27,361,23.55,370.38
2020-07-28,332,37.03,732.96
2020-07-29,445,35.35,785.97
2020-07-30,340,37.96,708.74
2020-07-31,392,35.05,662.04
2020-08-01,140,25.04,628.33
2020-08-02,95,38.86,387.46
2020-08-03,429,30.34,333.8
2020-08-04,369,43.09,638.82
2020-08-05,378,31.52,661.43
2020-08-06,349,41.74,707.96
2020-08-07,418,35.76,663.73
2020-08-08,177,40.72,575.82
2020-08-09,115,33.55,443.59
2020-08-10,376,23.66,357.03
2020-08-11,384,23.93,99.35
2020-08-12,433,35.85,1468.0
2020-08-13,391,20.41,748.04
2020-08-14,346,29.61,701.4
2020-08-15,221,25.98,635.79
2020-08-16,120,25.96,455.6
2020-08-17,493,11.41,390.26
2020-08-18,412,23.31,679.65
2020-08-19,484,17.33,716.94
2020-08-20,424,16.97,672.75
2020-08-21,431,20.77,820.53
2020-08-22,191,20.38,660.13
2020-08-23,129,18.24,401.2
2020-08-24,556,13.41,340.73
2020-08-25,412,21.45,609.8
2020-08-26,388,15.99,449.39
2020-08-27,385,15.21,328.6
2020-08-28,382,14.89,641.93
2020-08-29,235,18.15,642.09
2020-08-30,101,21.02,441.74
2020-08-31,413,13.9,370.23
2020-09-01,331,20.75,638.88
2020-09-02,407,20.7,539.18
2020-09-03,340,23.8,678.57
2020-09-04,396,18.2,629.92
2020-09-05,203,24.3,663.22
2020-09-06,143,12.1,504.78
2020-09-07,72,9.42,407.3
2020-09-08,368,12.03,406.79
2020-09-09,401,16.34,713.79
2020-09-10,329,15.09,668.58
2020-09-11,343,10.21,708.2
2020-09-12,136,15.2,694.34
2020-09-13,123,14.07,497.42
2020-09-14,430,9.43,399.27
2020-09-15,354,24.98,720.02
2020-09-16,366,24.24,741.87
2020-09-17,393,17.71,672.98
2020-09-18,358,15.85,650.61
2020-09-19,170,22.21,635.22
2020-09-20,109,18.66,403.55
2020-09-21,421,11.01,311.46
2020-09-22,352,20.95,658.41
2020-09-23,391,20.98,633.97
2020-09-24,409,18.88,677.94
2020-09-25,380,23.82,654.47
2020-09-26,232,24.05,658.41
2020-09-27,168,26.67,504.36
2020-09-28,420,16.0,375.5
2020-09-29,382,35.5,733.1
2020-09-30,465,17.64,734.43
2020-10-01,362,20.03,707.75
2020-10-02,412,9.16,746.37
2020-10-03,223,18.76,746.98
2020-10-04,150,19.4,447.49
2020-10-05,552,24.03,414.11
2020-10-06,556,27.38,721.95
2020-10-07,546,34.0,747.91
2020-10-08,606,25.13,698.92
2020-10-09,669,22.79,725.98
2020-10-10,444,24.48,642.6
2020-10-11,299,16.23,426.89
2020-10-12,681,24.75,335.31
2020-10-13,881,29.93,663.16
2020-10-14,851,25.9,637.83
2020-10-15,907,27.52,716.57
2020-10-16,953,35.55,657.6
2020-10-17,547,26.18,604.52
2020-10-18,347,21.8,397.3
2020-10-19,1167,28.54,381.16
2020-10-20,1195,37.39,733.77
2020-10-21,1180,40.1,714.5
2020-10-22,1306,34.19,765.15
2020-10-23,1018,34.73,738.11
2020-10-24,886,30.01,695.08
2020-10-25,527,37.41,479.58
2020-10-26,1540,42.12,397.08
2020-10-27,1629,68.04,675.45
2020-10-28,1745,46.58,742.29
2020-10-29,1883,74.92,764.15
2020-10-30,1868,77.76,740.03
2020-10-31,1065,81.0,826.51
2020-11-01,728,66.42,553.53
2020-11-02,2317,37.06,459.13
2020-11-03,2140,56.76,705.91
2020-11-04,2508,61.82,725.44
2020-11-05,2635,38.2,747.25
2020-11-06,2776,38.66,775.61
2020-11-07,1572,43.4,744.46
2020-11-08,1106,35.46,494.41
2020-11-09,3220,61.45,543.26
2020-11-10,3346,82.84,688.07
2020-11-11,2479,87.34,679.37
2020-11-12,2920,85.24,698.76
2020-11-13,2690,82.68,678.7
2020-11-14,1400,84.24,678.43
2020-11-15,833,81.21,441.77
2020-11-16,2559,65.68,337.09
2020-11-17,2457,84.22,596.1
2020-11-18,2317,78.52,699.81
2020-11-19,2169,77.92,714.15
2020-11-20,2302,71.42,730.11
2020-11-21,1264,59.02,669.22
2020-11-22,781,67.52,425.85
2020-11-23,2377,40.66,365.76
2020-11-24,1927,55.8,718.22
2020-11-25,1830,47.94,646.73
2020-11-26,265,39.02,692.21
2020-11-27,1250,31.66,368.2
2020-11-28,1374,44.03,584.61
2020-11-29,892,44.99,418.63
2020-11-30,2379,28.47,393.83
2020-12-01,2187,35.89,685.33
2020-12-02,2050,40.59,720.85
2020-12-03,2067,52.19,713.68
2020-12-04,1852,49.8,725.34
2020-12-05,1205,39.3,718.21
2020-12-06,709,41.42,450.32
2020-12-07,2060,33.63,398.1
2020-12-08,2059,47.66,697.97
2020-12-09,1755,28.7,654.7
2020-12-10,1704,37.97,647.17
2020-12-11,1675,34.23,708.03
2020-12-12,912,28.3,627.96
2020-12-13,610,26.26,480.06
2020-12-14,1464,27.48,392.8
2020-12-15,1620,33.21,685.23
2020-12-16,1384,34.91,673.59
2020-12-17,1348,39.42,763.78
2020-12-18,1297,25.8,766.48
2020-12-19,858,24.73,663.34
2020-12-20,583,29.72,462.15
2020-12-21,1470,23.82,410.87
2020-12-22,1343,27.16,698.67
2020-12-23,1219,25.46,772.59
2020-12-24,620,25.27,537.8
2020-12-25,162,23.48,681.93
2020-12-26,958,14.46,419.44
2020-12-27,617,25.32,460.92
2020-12-28,1669,27.24,425.19
2020-12-29,1720,36.8,657.78
2020-12-30,1450,27.96,652.03
2020-12-31,975,28.84,672.15
2021-01-01,266,30.8,673.79
2021-01-02,1114,27.4,445.5
2021-01-03,645,28.68,470.52
2021-01-04,1882,23.87,404.22
2021-01-05,1606,41.27,634.46
2021-01-06,1462,40.36,620.03
2021-01-07,1381,32.06,776.37
2021-01-08,1212,24.0,745.48
2021-01-09,780,27.2,671.44
2021-01-10,500,26.77,496.65
2021-01-11,1360,21.62,436.84
2021-01-12,1090,24.93,739.42
2021-01-13,1113,30.19,697.22
2021-01-14,1052,28.45,793.4
2021-01-15,1028,29.42,659.78
2021-01-16,629,20.25,683.33
2021-01-17,397,23.54,494.59
2021-01-18,715,16.88,400.59
2021-01-19,1088,15.73,731.99
2021-01-20,792,21.85,745.17
2021-01-21,817,14.35,722.51
2021-01-22,736,18.63,725.16
2021-01-23,582,17.76,789.91
2021-01-24,338,18.09,491.55
